Nome,Sobrenome,Email,Cidade,Estado
Melissa,Cardoso,MelissaLimaCardoso@cuvox.de,São Paulo,SP
Sofia,Cavalcanti,SofiaCunhaCavalcanti@cuvox.de,Caçapava,SP
Sarah,Fernandes,SarahPintoFernandes@jourrapide.com,Belo Horizonte,MG
Julia,Carvalho,JuliaPereiraCarvalho@dayrep.com,Campinas,SP
Isabella,Dias,IsabellaRibeiroDias@cuvox.de,Valinhos,SP
Bianca,Santos,BiancaCorreiaSantos@cuvox.de,Barra do Piraí,RJ
Luis,Cardoso,LuisSousaCardoso@armyspy.com,Votuporanga,SP
Miguel,Melo,MiguelRodriguesMelo@rhyta.com,São Paulo,SP
Julieta,Araujo,JulietaCostaAraujo@jourrapide.com,Caratinga,MG
Danilo,Cardoso,DaniloBarbosaCardoso@jourrapide.com,Goiânia,GO
Brenda,Ribeiro,BrendaAzevedoRibeiro@armyspy.com,Pelotas,RS
Marisa,Oliveira,MarisaMartinsOliveira@fleckens.hu,São José do Rio Preto,SP
Matheus,Melo,MatheusAraujoMelo@rhyta.com,Itaguaí,RJ
Murilo,Correia,MuriloCastroCorreia@gustr.com,Nova Iguaçu,RJ
Renan,Santos,RenanGomesSantos@teleworm.us,Foz do Iguaçu,PR
Vinícius,Pinto,ViniciusCunhaPinto@einrot.com,Vila Velha,ES
Kauê,Cunha,KaueBarbosaCunha@superrito.com,Natal,RN
Matheus,Cardoso,MatheusMeloCardoso@jourrapide.com,Curitiba,PR
Brenda,Azevedo,BrendaFernandesAzevedo@gustr.com,Bauru,SP
Maria,Ferreira,MariaPintoFerreira@cuvox.de,Fortaleza,CE
Anna,Araujo,AnnaGomesAraujo@fleckens.hu,Campina Grande,PB
Thiago,Cavalcanti,ThiagoAzevedoCavalcanti@rhyta.com,Goiânia,GO
Fernanda,Pereira,FernandaAraujoPereira@gustr.com,São Paulo,SP
Giovana,Pereira,GiovanaSouzaPereira@jourrapide.com,Foz do Iguaçu,PR
Breno,Cunha,BrenoBarrosCunha@einrot.com,Paulista,PE
Livia,Rodrigues,LiviaAzevedoRodrigues@rhyta.com,Salvador,BA
Leila,Cardoso,LeilaAlvesCardoso@einrot.com,Planaltina,DF
Vinicius,Azevedo,ViniciusPintoAzevedo@gustr.com,Tatuí,SP
Leonor,Rodrigues,LeonorCostaRodrigues@fleckens.hu,São Paulo,SP
Carolina,Ferreira,CarolinaOliveiraFerreira@dayrep.com,São Vicente,SP
Manuela,Dias,ManuelaCardosoDias@einrot.com,Salvador,BA
Ágatha,Souza,AgathaPintoSouza@jourrapide.com,Salvador,BA
Danilo,Santos,DaniloAzevedoSantos@cuvox.de,Montes Claros,MG
Isabela,Goncalves,IsabelaSilvaGoncalves@armyspy.com,Caucaia,CE
Gabrielle,Martins,GabrielleCarvalhoMartins@gustr.com,Canoas,RS
Rebeca,Rocha,RebecaCostaRocha@fleckens.hu,Curitiba,PR
Laura,Rodrigues,LauraSouzaRodrigues@jourrapide.com,Belo Horizonte,MG
Rebeca,Pinto,RebecaCunhaPinto@gustr.com,Divinópolis,MG
Emily,Azevedo,EmilyCarvalhoAzevedo@armyspy.com,João Pessoa,PB
Carlos,Carvalho,CarlosMartinsCarvalho@gustr.com,São Paulo,SP
Livia,Alves,LiviaCastroAlves@dayrep.com,Santa Rita,PB
Eduarda,Carvalho,EduardaRibeiroCarvalho@cuvox.de,São Luís,MA
Ana,Ferreira,AnaMartinsFerreira@superrito.com,Lages,SC
Marcos,Melo,MarcosBarbosaMelo@einrot.com,Itumbiara,GO
Thaís,Cavalcanti,ThaisOliveiraCavalcanti@superrito.com,Teófilo Otoni,MG
Antônio,Azevedo,AntonioPereiraAzevedo@cuvox.de,Rio de Janeiro,RJ
Joao,Pereira,JoaoBarbosaPereira@rhyta.com,Goiânia,GO
Carolina,Cunha,CarolinaLimaCunha@teleworm.us,Campo Grande,MS
Gabrielle,Fernandes,GabrielleRochaFernandes@armyspy.com,Caxias do Sul,RS
Eduarda,Ribeiro,EduardaCastroRibeiro@fleckens.hu,Feira de Santana,BA
Luan,Goncalves,LuanCavalcantiGoncalves@cuvox.de,Rio Claro,SP
Rebeca,Lima,RebecaPintoLima@jourrapide.com,Itajubá,MG
Lara,Lima,LaraOliveiraLima@jourrapide.com,Belo Horizonte,MG
Kauan,Costa,KauanCastroCosta@rhyta.com,São Carlos,SP
Murilo,Costa,MuriloCorreiaCosta@cuvox.de,Nova Iguaçu,RJ
Carla,Barros,CarlaOliveiraBarros@armyspy.com,Indaiatuba,SP
Gustavo,Correia,GustavoSouzaCorreia@armyspy.com,Rio Claro,SP
José,Alves,JoseCorreiaAlves@fleckens.hu,Santana de Parnaíba,SP
Guilherme,Dias,GuilhermeCunhaDias@teleworm.us,Camaragibe,PE
Samuel,Martins,SamuelBarrosMartins@rhyta.com,São Paulo,SP
Vinicius,Correia,ViniciusDiasCorreia@jourrapide.com,Suzano,SP
Estevan,Santos,EstevanBarbosaSantos@jourrapide.com,Florianópolis,SC
Letícia,Oliveira,LeticiaCarvalhoOliveira@einrot.com,Palmas,TO
Laura,Alves,LauraPereiraAlves@cuvox.de,Belém,PA
Lavinia,Azevedo,LaviniaRodriguesAzevedo@armyspy.com,Várzea Grande,MT
Emily,Gomes,EmilyRibeiroGomes@rhyta.com,Recife,PE
Bianca,Castro,BiancaSousaCastro@teleworm.us,Porto Alegre,RS
Victor,Rodrigues,VictorSantosRodrigues@gustr.com,Rio de Janeiro,RJ
Marisa,Oliveira,MarisaGoncalvesOliveira@cuvox.de,Sumaré,SP
Arthur,Ribeiro,ArthurPereiraRibeiro@armyspy.com,Jaraguá do Sul,SC
Rodrigo,Barros,RodrigoAzevedoBarros@dayrep.com,Caucaia,CE
Bruna,Alves,BrunaCavalcantiAlves@fleckens.hu,Ponta Grossa,PR
Raissa,Alves,RaissaRochaAlves@gustr.com,Caucaia,CE
Gabriel,Cunha,GabrielBarbosaCunha@gustr.com,Joinville,SC
Vitor,Melo,VitorCastroMelo@teleworm.us,Camaragibe,PE
Felipe,Correia,FelipeSantosCorreia@cuvox.de,Caxias do Sul,RS
Marcos,Rocha,MarcosCardosoRocha@fleckens.hu,Sabará,MG
Mariana,Ferreira,MarianaRochaFerreira@cuvox.de,Alvorada,RS
Larissa,Almeida,LarissaPereiraAlmeida@rhyta.com,Itapecerica da Serra,SP
Gabrielle,Cunha,GabrielleAlmeidaCunha@superrito.com,São Bernardo do Campo,SP
Camila,Dias,CamilaOliveiraDias@rhyta.com,Curitiba,PR
Yasmin,Martins,YasminCostaMartins@cuvox.de,Manaus,AM
Larissa,Santos,LarissaSilvaSantos@rhyta.com,Lago Sul,DF
Guilherme,Alves,GuilhermeSousaAlves@armyspy.com,Mesquita,RJ
Isabela,Sousa,IsabelaMartinsSousa@gustr.com,Gravatá,PE
Leila,Cardoso,LeilaFerreiraCardoso@superrito.com,Cuiabá,MT
André,Cardoso,AndreCastroCardoso@fleckens.hu,Rio de Janeiro,RJ
Carolina,Oliveira,CarolinaPereiraOliveira@fleckens.hu,Limeira,SP
Julia,Melo,JuliaBarbosaMelo@cuvox.de,Rio Verde,GO
Lara,Barbosa,LaraAlvesBarbosa@teleworm.us,Santo Ângelo,RS
Pedro,Ferreira,PedroPintoFerreira@rhyta.com,Limeira,SP
Gabrielle,Oliveira,GabrielleCastroOliveira@fleckens.hu,Caxias do Sul,RS
Rebeca,Silva,RebecaSantosSilva@superrito.com,Natal,RN
Kauê,Costa,KaueMartinsCosta@armyspy.com,Recife,PE
Gabrielly,Melo,GabriellyCorreiaMelo@jourrapide.com,São Gonçalo,RJ
Vinicius,Lima,ViniciusRochaLima@rhyta.com,Jacareí,SP
Bianca,Martins,BiancaFerreiraMartins@teleworm.us,Montes Claros,MG
Leila,Almeida,LeilaGoncalvesAlmeida@rhyta.com,Volta Redonda,RJ
Emily,Gomes,EmilyCavalcantiGomes@armyspy.com,Manaus,AM
Beatrice,Melo,BeatriceAlvesMelo@superrito.com,Itabira,MG
Maria,Cunha,MariaOliveiraCunha@superrito.com,Embu,SP
Kauã,Barros,KauaRochaBarros@dayrep.com,Campinas,SP
Gabrielle,Lima,GabrielleRodriguesLima@einrot.com,Matão,SP
Paulo,Rodrigues,PauloAlmeidaRodrigues@armyspy.com,São Paulo,SP
Vitor,Rodrigues,VitorFernandesRodrigues@armyspy.com,Uberaba,MG
Ryan,Rodrigues,RyanCunhaRodrigues@fleckens.hu,Taubaté,SP
Giovana,Barbosa,GiovanaCastroBarbosa@jourrapide.com,Barra Mansa,RJ
Kai,Sousa,KaiBarrosSousa@einrot.com,Belém,PA
Rafael,Sousa,RafaelSantosSousa@jourrapide.com,Canoas,RS
Kaua,Correia,KauaOliveiraCorreia@cuvox.de,Campinas,SP
Carla,Pinto,CarlaCarvalhoPinto@einrot.com,São Paulo,SP
Erick,Cunha,ErickFerreiraCunha@fleckens.hu,Caucaia,CE
Sofia,Araujo,SofiaPereiraAraujo@rhyta.com,Campo Grande,MS
Kaua,Barros,KauaAzevedoBarros@dayrep.com,Recife,PE
Clara,Cavalcanti,ClaraBarbosaCavalcanti@fleckens.hu,Campo Grande,MS
Bruna,Barbosa,BrunaAlmeidaBarbosa@cuvox.de,Caruaru,PE
Carolina,Barbosa,CarolinaAraujoBarbosa@jourrapide.com,Cariacica,ES
Douglas,Ferreira,DouglasLimaFerreira@armyspy.com,Vitória,ES
Nicolash,Gomes,NicolashCavalcantiGomes@superrito.com,São Paulo,SP
Danilo,Almeida,DaniloBarrosAlmeida@einrot.com,Vitória,ES
Leila,Ferreira,LeilaOliveiraFerreira@einrot.com,Samambaia,DF
Carolina,Rocha,CarolinaPintoRocha@fleckens.hu,Ferraz de Vasconcelos,SP
Eduarda,Goncalves,EduardaPereiraGoncalves@jourrapide.com,Recife,PE
Vitoria,Cavalcanti,VitoriaCardosoCavalcanti@fleckens.hu,Japeri,RJ
Amanda,Pereira,AmandaCavalcantiPereira@superrito.com,Boa Vista,RR
Guilherme,Ferreira,GuilhermeCostaFerreira@jourrapide.com,Novo Gama,GO
Rodrigo,Barros,RodrigoGomesBarros@jourrapide.com,São Paulo,SP
Fábio,Cunha,FabioCostaCunha@cuvox.de,Canoas,RS
Ana,Rodrigues,AnaAzevedoRodrigues@rhyta.com,Salvador,BA
Aline,Barros,AlineAraujoBarros@rhyta.com,São Paulo,SP
Samuel,Silva,SamuelFerreiraSilva@superrito.com,Duque de Caxias,RJ
Gabriela,Carvalho,GabrielaCavalcantiCarvalho@einrot.com,Salvador,BA
Kauã,Ferreira,KauaOliveiraFerreira@armyspy.com,Lages,SC
Kaua,Gomes,KauaRodriguesGomes@einrot.com,Duque de Caxias,RJ
Kauê,Silva,KaueSouzaSilva@rhyta.com,Araras,SP
Kauã,Azevedo,KauaCunhaAzevedo@cuvox.de,São José dos Campos,SP
Vitória,Lima,VitoriaFerreiraLima@cuvox.de,Queimados,RJ
Anna,Azevedo,AnnaMartinsAzevedo@cuvox.de,Tubarão,SC
Marina,Cunha,MarinaMartinsCunha@teleworm.us,Fortaleza,CE
Felipe,Carvalho,FelipeCastroCarvalho@armyspy.com,Sorocaba,SP
Antônio,Cavalcanti,AntonioOliveiraCavalcanti@jourrapide.com,Rio de Janeiro,RJ
Rebeca,Correia,RebecaBarbosaCorreia@gustr.com,Bragança Paulista,SP
Marina,Araujo,MarinaRibeiroAraujo@superrito.com,São Luís,MA
Luan,Almeida,LuanCastroAlmeida@armyspy.com,Ribeirão das Neves,MG
Amanda,Ferreira,AmandaRochaFerreira@dayrep.com,Bauru,SP
Isabela,Rodrigues,IsabelaLimaRodrigues@einrot.com,Recife,PE
Kai,Pereira,KaiCarvalhoPereira@jourrapide.com,Taubaté,SP
Martim,Ferreira,MartimCunhaFerreira@dayrep.com,Juiz de Fora,MG
Marisa,Ribeiro,MarisaAraujoRibeiro@armyspy.com,Manaus,AM
Vinicius,Costa,ViniciusAraujoCosta@armyspy.com,Cariacica,ES
Rafaela,Alves,RafaelaPintoAlves@teleworm.us,São Paulo,SP
Lavinia,Dias,LaviniaCunhaDias@teleworm.us,Cruz Alta,RS
Sarah,Gomes,SarahPereiraGomes@rhyta.com,São Paulo,SP
Luiza,Araujo,LuizaCunhaAraujo@superrito.com,Chapecó,SC
José,Alves,JoseCastroAlves@gustr.com,Sorocaba,SP
Leonardo,Ribeiro,LeonardoAzevedoRibeiro@einrot.com,Riacho Fundo,DF
Marisa,Melo,MarisaDiasMelo@rhyta.com,Salvador,BA
Antônio,Cavalcanti,AntonioCardosoCavalcanti@armyspy.com,São Paulo,SP
Luís,Cardoso,LuisCostaCardoso@teleworm.us,São Paulo,SP
Lucas,Costa,LucasOliveiraCosta@fleckens.hu,Santo André,SP
Laura,Ferreira,LauraSousaFerreira@fleckens.hu,Itapecerica da Serra,SP
Daniel,Pereira,DanielCunhaPereira@dayrep.com,Anápolis,GO
Mariana,Silva,MarianaSantosSilva@gustr.com,Belém,PA
Nicolas,Silva,NicolasLimaSilva@einrot.com,Limeira,SP
Estevan,Oliveira,EstevanMartinsOliveira@dayrep.com,São Paulo,SP
Mariana,Correia,MarianaRodriguesCorreia@fleckens.hu,Jaraguá do Sul,SC
Pedro,Almeida,PedroRochaAlmeida@gustr.com,Sete Lagoas,MG
Julieta,Barros,JulietaBarbosaBarros@cuvox.de,Itapetininga,SP
Bruno,Dias,BrunoAlmeidaDias@cuvox.de,Duque de Caxias,RJ
Enzo,Cardoso,EnzoSilvaCardoso@armyspy.com,Mossoró,RN
Clara,Barros,ClaraCardosoBarros@einrot.com,Várzea Grande,MT
Amanda,Santos,AmandaCavalcantiSantos@armyspy.com,São José do Rio Preto,SP
Paulo,Cardoso,PauloPereiraCardoso@einrot.com,Campinas,SP
Diogo,Fernandes,DiogoBarrosFernandes@armyspy.com,Recife,PE
Diego,Alves,DiegoRochaAlves@superrito.com,Foz do Iguaçu,PR
Rebeca,Ferreira,RebecaSouzaFerreira@fleckens.hu,Jundiaí,SP
Júlia,Ferreira,JuliaPintoFerreira@teleworm.us,Tatuí,SP
Rodrigo,Barbosa,RodrigoCorreiaBarbosa@fleckens.hu,Birigüi,SP
Isabelle,Costa,IsabelleGoncalvesCosta@jourrapide.com,Rio de Janeiro,RJ
Fábio,Goncalves,FabioGomesGoncalves@superrito.com,Sorocaba,SP
Sarah,Cavalcanti,SarahBarrosCavalcanti@gustr.com,Vitória,ES
Melissa,Pinto,MelissaRochaPinto@jourrapide.com,Maceió,AL
Emilly,Azevedo,EmillyOliveiraAzevedo@dayrep.com,Aparecida de Goiânia,GO
Felipe,Barbosa,FelipeCardosoBarbosa@fleckens.hu,Natal,RN
Rafael,Azevedo,RafaelMeloAzevedo@dayrep.com,Taubaté,SP
Victor,Barbosa,VictorSantosBarbosa@einrot.com,Recife,PE
Emily,Costa,EmilySilvaCosta@armyspy.com,Jaboatão dos Guararapes,PE
Gabriela,Gomes,GabrielaFernandesGomes@gustr.com,Cariacica,ES
Paulo,Barros,PauloAlmeidaBarros@fleckens.hu,Samambaia,DF
Renan,Santos,RenanPintoSantos@armyspy.com,São Paulo,SP
Carla,Cunha,CarlaSouzaCunha@fleckens.hu,Jacareí,SP
Paulo,Santos,PauloFerreiraSantos@gustr.com,São Paulo,SP
Thaís,Barbosa,ThaisRibeiroBarbosa@armyspy.com,São Lourenço da Mata,PE
Letícia,Oliveira,LeticiaRodriguesOliveira@gustr.com,Maringá,PR
Pedro,Correia,PedroBarrosCorreia@teleworm.us,Gravatá,PE
José,Fernandes,JoseAlvesFernandes@fleckens.hu,Várzea Grande,MT
Rebeca,Barros,RebecaSouzaBarros@gustr.com,Bauru,SP
Thiago,Sousa,ThiagoSouzaSousa@dayrep.com,São Paulo,SP
Rodrigo,Souza,RodrigoPintoSouza@armyspy.com,Campinas,SP
Victor,Gomes,VictorFerreiraGomes@teleworm.us,São João de Meriti,RJ
Julieta,Gomes,JulietaCastroGomes@jourrapide.com,Campo Grande,MS
Gabriel,Barros,GabrielSilvaBarros@gustr.com,Campinas,SP
Kauã,Cunha,KauaSantosCunha@dayrep.com,São Luís,MA
Davi,Goncalves,DaviCostaGoncalves@teleworm.us,Ponta Grossa,PR
Maria,Martins,MariaAzevedoMartins@cuvox.de,Sabará,MG
Miguel,Souza,MiguelAlvesSouza@rhyta.com,Juiz de Fora,MG
Sofia,Carvalho,SofiaAzevedoCarvalho@cuvox.de,Santa Maria,RS
Alice,Barros,AliceSilvaBarros@cuvox.de,Rio de Janeiro,RJ
Vinícius,Azevedo,ViniciusCarvalhoAzevedo@rhyta.com,Barreiras,BA
Mateus,Rodrigues,MateusGomesRodrigues@superrito.com,Cariacica,ES
Kaua,Silva,KauaAraujoSilva@rhyta.com,Teixeira de Freitas,BA
Julia,Fernandes,JuliaRodriguesFernandes@cuvox.de,Goiânia,GO
Luiz,Lima,LuizPereiraLima@dayrep.com,Palhoça,SC
Luís,Araujo,LuisCardosoAraujo@cuvox.de,São José dos Pinhais,PR
Júlio,Dias,JulioCardosoDias@superrito.com,Rio de Janeiro,RJ
Marina,Pereira,MarinaGomesPereira@jourrapide.com,São Paulo,SP
Ana,Silva,AnaLimaSilva@jourrapide.com,Guarulhos,SP
Isabella,Ribeiro,IsabellaBarbosaRibeiro@fleckens.hu,Itajubá,MG
Emily,Oliveira,EmilyRodriguesOliveira@einrot.com,Salvador,BA
Daniel,Barbosa,DanielCorreiaBarbosa@teleworm.us,Tubarão,SC
Melissa,Gomes,MelissaBarrosGomes@dayrep.com,Juazeiro,BA
Kaua,Azevedo,KauaPereiraAzevedo@superrito.com,Cachoeiro de Itapemirim,ES
Raissa,Carvalho,RaissaCastroCarvalho@jourrapide.com,Lages,SC
Luan,Rodrigues,LuanCostaRodrigues@teleworm.us,Curitiba,PR
Emily,Cavalcanti,EmilySantosCavalcanti@einrot.com,Aparecida de Goiânia,GO
Luan,Costa,LuanAzevedoCosta@fleckens.hu,Recife,PE
Carolina,Goncalves,CarolinaMartinsGoncalves@jourrapide.com,Limeira,SP
Raissa,Correia,RaissaMartinsCorreia@teleworm.us,Várzea Grande,MT
Emily,Silva,EmilyRochaSilva@gustr.com,Embu,SP
Leonor,Carvalho,LeonorRochaCarvalho@fleckens.hu,Ponta Grossa,PR
Vitoria,Alves,VitoriaCarvalhoAlves@superrito.com,Recife,PE
Kai,Barros,KaiAlmeidaBarros@fleckens.hu,Rio de Janeiro,RJ
Emily,Almeida,EmilyRochaAlmeida@dayrep.com,Taubaté,SP
Leonor,Cavalcanti,LeonorSantosCavalcanti@gustr.com,Avaré,SP
Livia,Cunha,LiviaAzevedoCunha@jourrapide.com,Mauá,SP
Marina,Rodrigues,MarinaGomesRodrigues@rhyta.com,Belo Horizonte,MG
Luan,Cardoso,LuanAlvesCardoso@superrito.com,Goiânia,GO
Isabela,Fernandes,IsabelaMeloFernandes@rhyta.com,Hortolândia,SP
Ryan,Dias,RyanRochaDias@teleworm.us,Viamão,RS
Diogo,Costa,DiogoLimaCosta@gustr.com,Itaúna,MG
Carolina,Pereira,CarolinaRibeiroPereira@gustr.com,Rio de Janeiro,RJ
Gabrielle,Castro,GabrielleRodriguesCastro@armyspy.com,Goiânia,GO
Kauê,Carvalho,KaueCostaCarvalho@cuvox.de,Rondonópolis,MT
Daniel,Costa,DanielOliveiraCosta@teleworm.us,Rio de Janeiro,RJ
Vinicius,Castro,ViniciusSousaCastro@fleckens.hu,Serra,ES
Cauã,Pinto,CauaCarvalhoPinto@einrot.com,Alagoinhas,BA
Alex,Sousa,AlexRodriguesSousa@armyspy.com,Três Lagoas,MS
Aline,Gomes,AlineRochaGomes@fleckens.hu,Cubatão,SP
Victor,Cavalcanti,VictorMartinsCavalcanti@rhyta.com,Bauru,SP
Luis,Silva,LuisMartinsSilva@jourrapide.com,São Gonçalo,RJ
Isabelle,Lima,IsabelleAlvesLima@cuvox.de,Arapiraca,AL
Julia,Correia,JuliaSantosCorreia@armyspy.com,Campo Grande,MS
Lara,Barbosa,LaraSantosBarbosa@cuvox.de,São Paulo,SP
Nicolas,Costa,NicolasOliveiraCosta@cuvox.de,Belém,PA
Camila,Melo,CamilaBarbosaMelo@superrito.com,Blumenau,SC
Gustavo,Cunha,GustavoGomesCunha@superrito.com,Sarandi,PR
Vinicius,Lima,ViniciusSouzaLima@gustr.com,Aparecida de Goiânia,GO
Júlia,Araujo,JuliaPintoAraujo@teleworm.us,Recife,PE
Rafael,Rocha,RafaelMeloRocha@gustr.com,Salvador,BA
Marcos,Ribeiro,MarcosLimaRibeiro@superrito.com,Ferraz de Vasconcelos,SP
Tânia,Fernandes,TaniaSilvaFernandes@rhyta.com,Goiânia,GO
Beatrice,Ribeiro,BeatriceSouzaRibeiro@jourrapide.com,Maceió,AL
Sarah,Azevedo,SarahCorreiaAzevedo@gustr.com,João Pessoa,PB
Victor,Costa,VictorPintoCosta@rhyta.com,Taboão da Serra,SP
Lavinia,Correia,LaviniaAlmeidaCorreia@superrito.com,Guarujá,SP
Gustavo,Cardoso,GustavoSantosCardoso@fleckens.hu,João Pessoa,PB
Julian,Barbosa,JulianPereiraBarbosa@teleworm.us,Alvorada,RS
Luis,Costa,LuisBarrosCosta@gustr.com,São Paulo,SP
Igor,Goncalves,IgorCunhaGoncalves@fleckens.hu,Uberaba,MG
